index,name,category,category_group,address,city,neighborhood,latitude,longitude,has_coordinates,plus_code,phone,has_phone,website,has_website,needs_website,rating,review_count,engagement_level,num_photos,has_photos,num_review_photos,total_images,num_reviews_with_text,reviews_with_photos,price_level,has_opening_hours,days_with_hours,has_accessibility,accessibility,has_amenities,amenities,has_payments,payments,has_parking,parking,has_service_options,service_options,has_highlights,highlights,data_completeness,image_score,review_score,rating_score,overall_quality,is_good_candidate,is_premium_candidate,maps_url,place_id,scraped_at
10,Brasa Steakhouse,Restaurante especializado en barbacoa,Food & Beverage,"PC6G+M8G, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,,"
0984 400004",True,,False,True,3.8,191,High,4,True,0,4,1,0,0,True,7,True,Espacio accesible para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,1,6.03,False,False,,,2026-01-30T21:10:32.487167
11,Restaurante Su,Restaurante coreano,Food & Beverage,"Guido Spano 1712, Asunción 001408",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC3F+XQ Asunción,"
0962 287681",True,,False,True,4.7,1625,High,4,True,0,4,3,0,2,True,7,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Es un poco difícil encontrar espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,2,3,7.7,True,False,,,2026-01-30T21:10:55.120559
12,La Burguesa Villa Morra,Hamburguesería,Other,"Malutin 173, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC49+MP Asunción,"
0981 617555",True,,False,True,4.4,248,High,4,True,0,4,2,0,1,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Es un poco difícil encontrar espacio; Estacionamiento gratuito,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:11:17.052234
13,Cachicken Villamorra,Restaurante peruano,Food & Beverage,"Quesada con, Cruz Del Chaco, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC3C+R6 Asunción,"
0986 204488",True,,False,True,4.2,55,Medium,4,True,0,4,0,0,1,True,7,False,,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Es difícil encontrar espacio; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,70,2,0,2,4.77,False,False,,,2026-01-30T21:11:40.089513
14,Bellini Carmelitas,Restaurante italiano,Food & Beverage,"Av. España 1272, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC7F+M2 Asunción,"
(021) 623 967",True,,False,True,4.6,1795,High,4,True,0,4,2,0,1,True,7,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Es un poco difícil encontrar espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle; Estacionamiento pagado,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:12:06.165085
15,La Provista,Restaurante,Food & Beverage,"Alberto De Sousa, Asunción 001413",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,MCX9+V5 Asunción,"
0993 352222",True,,False,True,4.3,1737,High,4,True,0,4,2,0,0,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar; Wi-Fi; Tiene Wi-Fi gratis,True,Cheques; Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Estacionamiento gratuito; Estacionamiento gratuito en la calle; Estacionamiento pagado,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:12:29.503374
16,Ese Lugar! Quinta Nauar,Restaurante,Food & Beverage,"Olegario Víctor Andrade, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC4F+G9 Asunción,"
(021) 604 061",True,,False,True,4.6,870,High,4,True,0,4,2,0,0,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:13:40.266836
17,Casa Lorenzo Restaurant,Restaurante,Food & Beverage,"Eusebio Lillo Robles y, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC6C+RP Asunción,"
0971 158566",True,,False,True,4.6,102,High,4,True,0,4,3,0,1,True,7,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Servicio de estacionamiento,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,2,3,7.7,True,False,,,2026-01-30T21:14:04.508583
18,Isidoro Restaurante,Restaurante,Food & Beverage,"PC4C+RQ5, Dr. Francisco Morra 295 esq, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,,,False,,False,True,3.9,57,Medium,4,True,0,4,2,0,1,False,0,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,False,,True,dine_in; takeout; delivery; curbside_pickup,False,,65,2,1,1,5.28,False,False,,,2026-01-30T21:14:53.067929
19,Carlito's Way Bar & Resto,Pub restaurante,Food & Beverage,"San Roque Gonzalez de Santacruz esq, Asunción 001412",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC38+4V Asunción,"
(021) 606 280",True,,False,True,4.2,1518,High,4,True,0,4,2,0,2,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:15:19.192028
20,Mokka Coffee Store Villa Morra,Cafetería,Food & Beverage,"Manuel del Castillo &, Cruz del Defensor, Asunción",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC29+FQ Asunción,"
0991 476137",True,,False,True,4.5,628,High,4,True,0,4,2,0,1,True,7,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:17:04.034375
21,God's Pan Villa Morra 1,Restaurante,Food & Beverage,"MCX9+GVC, Av. República Argentina, Asunción 001415",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,,"
0984 932933",True,,False,True,4.4,329,High,4,True,0,4,1,0,1,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:18:10.293545
22,La Casita Gourmet,Restaurante,Food & Beverage,"PC7F+942, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,,"
(021) 623 750",True,,False,True,4.6,798,High,4,True,0,4,2,0,1,True,7,True,Espacio accesible para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Estacionamiento gratuito en la calle; Estacionamiento pagado,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:18:35.034009
23,Almacen del Plata,Restaurante,Food & Beverage,"Senador Huey Pierce Long 639, Asunción 1881",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC6F+94 Asunción,"
0981 555575",True,,False,True,4.6,332,High,4,True,0,4,1,0,1,True,7,False,,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:18:57.376652
24,La Cabrera,Restaurante,Food & Beverage,"Av. Aviadores del Chaco 1816, Asunción 001529",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC8J+HW Asunción,"
0984 739437",True,,False,True,4.6,889,High,4,True,0,4,3,0,1,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,2,3,7.7,True,False,,,2026-01-30T21:19:24.155927
25,Ofelia Restaurant,Restaurante occidental,Food & Beverage,"PC7F+CMQ La Factoria Hotel, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,,,False,,False,True,4.4,27,Low,4,True,0,4,1,0,0,False,0,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Estacionamiento gratuito,True,dine_in; takeout; delivery; curbside_pickup,False,,65,2,1,2,5.62,False,False,,,2026-01-30T21:19:45.700119
26,Juan Bautista Parrilla & Sangucheria,Restaurante especializado en barbacoa,Food & Beverage,"Senador Huey Pierce Long 749, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC7F+26 Asunción,,False,,False,True,4.0,119,High,3,True,0,3,1,0,0,True,7,True,Espacio accesible para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Es difícil encontrar espacio; Estacionamiento gratuito en la calle; Estacionamiento pagado en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,75,2,1,2,5.92,True,False,,,2026-01-30T21:20:31.284810
27,Casamorra,Restaurante,Food & Beverage,"Malutin 648 casi, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC6C+GR Asunción,"
0983 217773",True,,False,True,4.8,9,Low,0,False,0,0,2,0,1,True,7,False,,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,False,,True,dine_in; takeout; delivery; curbside_pickup,False,,75,0,1,3,4.25,False,False,,,2026-01-30T21:20:51.958310
28,Quattro D - Casa Matriz,Restaurante,Food & Beverage,"Olegario Víctor Andrade, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC4F+JC Asunción,"
(021) 729 4444",True,,False,True,4.5,5023,High,4,True,0,4,2,0,2,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Wi-Fi; Tiene Wi-Fi gratis,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Es un poco difícil encontrar espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:22:01.154672
29,Javorai,Pizzería,Other,"América 486, Asunción 001207",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC63+XF Asunción,"
(021) 225 570",True,,False,True,4.6,3517,High,4,True,0,4,1,0,2,True,7,True,Espacio accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Es un poco difícil encontrar espacio; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:22:41.294705
30,Ese lugar! España,Restaurante,Food & Beverage,"Gonzalo Bulnes, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC7C+VP Asunción,"
(021) 664 140",True,,False,True,4.5,1422,High,4,True,0,4,1,0,2,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:23:06.810593
31,Ed's House Asunción,Restaurante,Food & Beverage,"Charles De Gaulle, Asunción 1412",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,MCW7+PQ Asunción,"
0992 426277",True,,False,True,4.5,449,High,4,True,0,4,1,0,1,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:23:32.966119
32,Florentino Café,Cafetería,Food & Beverage,"Moisés Bertoni 1227, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC5C+QM Asunción,"
0981 000000",True,,False,True,4.5,95,Medium,4,True,0,4,2,0,1,True,7,False,,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Estacionamiento gratuito,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:23:58.665506
33,Pakuri,Restaurante,Food & Beverage,"Eusebio Lillo 902 esq. Infante Rivarola Asunción, 1849",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC78+6W Asunción,"
0983 635727",True,,False,True,4.4,590,High,4,True,0,4,1,0,3,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar; Wi-Fi; Tiene Wi-Fi gratis,True,Cheques; Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:24:19.706429
34,Tucumanitas,Restaurante de comida rápida,Food & Beverage,"PC76+8PR, Asunción 001411",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,,"
0986 123338",True,,False,True,4.6,416,High,4,True,0,4,0,0,1,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas,True,Sanitario,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,70,2,0,3,5.1,False,False,,,2026-01-30T21:24:42.694469
35,COLOSO Cocina & Abundancia,Restaurante,Food & Beverage,"Teniente Héctor Vera 1210 esq, Asunción 0000",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,PC7C+CW Asunción,"
0974 679777",True,,False,True,4.6,34,Medium,4,True,0,4,2,0,1,True,7,False,,False,,False,,False,,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,3,6.7,True,False,,,2026-01-30T21:25:05.505272
36,Mozzafiato Trattoria Local,Restaurante italiano,Food & Beverage,"Alberto De Sousa, Asunción 001413",Villa Morra,Villa Morra,-25.2870355,-57.5829745,True,MCX9+X5 Asunción,"
0982 412176",True,,False,True,4.6,1161,High,4,True,0,4,3,0,2,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Estacionamiento gratuito en la calle; Estacionamiento pagado,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,2,3,7.7,True,False,,,2026-01-30T21:25:27.061442
37,ALMA - Cocina con Fuegos,Restaurante,Food & Beverage,"Prof. Emiliano Gómez Rios, Asunción 001527",Carmelitas,Carmelitas,-25.2802126,-57.5756624,True,PC9M+WG Asunción,"
0974 608248",True,,False,True,4.4,2313,High,4,True,0,4,1,0,3,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito; Tarjetas de crédito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:27:40.975676
38,Mercato La Caoba,Restaurante,Food & Beverage,"San Juan XXlll, Asunción 1749",Carmelitas,Carmelitas,-25.2802126,-57.5756624,True,PC9M+55 Asunción,"
0974 103071",True,,False,True,4.4,658,High,4,True,0,4,2,0,2,True,7,True,wheelchair_accessible; Entrada accesible para personas en silla de ruedas; Espacio accesible para personas en silla de ruedas; Estacionamiento accesible para personas en silla de ruedas; Sanitarios accesibles para personas en silla de ruedas,True,Sanitario; Tiene bar,True,Pagos móviles mediante NFC; Tarjetas de crédito; Tarjetas de débito,True,Hay suficiente espacio; Estacionamiento gratuito; Estacionamiento gratuito en la calle,True,dine_in; takeout; delivery; curbside_pickup,False,,90,2,1,2,6.37,True,False,,,2026-01-30T21:28:03.789562
